timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,attack_category
2024-01-01 0:00:00,213.1.41.122,140.143.224.173,8604,49878,UDP,964,84661,4.07,Fuzzers
2024-01-01 0:00:01,19.186.53.231,81.154.14.21,43078,64074,ICMP,971,24887,1.91,Normal
2024-01-01 0:00:02,209.71.44.174,102.101.7.209,50731,55195,UDP,882,4518,6.49,DoS
2024-01-01 0:00:03,4.71.211.160,112.103.126.48,28790,35577,TCP,110,81052,6.01,Exploits
2024-01-01 0:00:04,139.8.119.114,86.219.215.166,3333,31509,ICMP,490,87675,4.21,Fuzzers
2024-01-01 0:00:05,40.47.238.69,98.137.164.14,27521,5024,UDP,321,50136,5.64,Exploits
2024-01-01 0:00:06,144.239.204.251,17.107.86.132,64952,10208,TCP,91,18533,2.59,Fuzzers
2024-01-01 0:00:07,172.51.54.219,131.226.110.96,34689,54615,UDP,912,83414,8.9,Worms
2024-01-01 0:00:08,45.222.179.218,191.138.211.47,36403,1103,TCP,660,61248,4.37,Fuzzers
2024-01-01 0:00:09,68.87.51.2,27.102.199.212,2547,22776,ICMP,942,22209,1.14,Analysis
2024-01-01 0:00:10,198.222.97.65,204.186.239.9,18669,62801,ICMP,912,18798,8.09,Probe
2024-01-01 0:00:11,160.7.56.209,98.249.142.189,33627,34864,ICMP,477,12991,4.84,Exploits
2024-01-01 0:00:12,83.232.212.168,168.196.221.66,26620,21209,TCP,967,29355,0.73,u2r
2024-01-01 0:00:13,173.124.117.227,149.225.58.100,20264,24762,UDP,503,16851,2.12,Worms
2024-01-01 0:00:14,21.18.123.167,139.96.92.229,26291,37239,UDP,216,18526,8.62,u2r
2024-01-01 0:00:15,245.199.91.56,182.90.177.111,37635,19632,UDP,370,21557,2.22,Exploits
2024-01-01 0:00:16,227.152.179.19,12.133.57.108,62308,46327,UDP,218,19692,6.64,u2r
2024-01-01 0:00:17,137.101.114.94,182.196.165.197,18885,59557,UDP,222,330,2.08,u2r
2024-01-01 0:00:18,2.237.175.50,128.233.99.173,49237,50594,ICMP,190,61406,2.27,u2r
2024-01-01 0:00:19,183.161.70.76,151.89.203.46,40341,36482,TCP,712,20341,8.2,Normal
2024-01-01 0:00:20,44.115.38.56,121.149.227.143,32196,34702,TCP,764,63309,3.99,r2l
2024-01-01 0:00:21,223.99.216.242,147.201.214.5,33625,48189,TCP,394,68670,6.13,Worms
2024-01-01 0:00:22,165.210.140.105,201.49.169.144,35563,43181,ICMP,87,63838,8.27,Shellcode
2024-01-01 0:00:23,32.123.192.38,53.9.185.151,27602,31315,UDP,549,75679,8.08,DoS
2024-01-01 0:00:24,239.79.199.5,37.235.107.13,26818,13739,ICMP,872,8608,1.37,DoS
2024-01-01 0:00:25,137.67.45.54,245.78.140.30,57475,59292,ICMP,195,59924,3.3,Probe
2024-01-01 0:00:26,49.108.230.85,144.148.50.32,28011,44518,ICMP,271,8087,2.71,r2l
2024-01-01 0:00:27,101.88.245.98,64.182.147.157,56356,39469,ICMP,371,74054,3.16,Reconnaissance
2024-01-01 0:00:28,51.105.242.215,91.243.76.30,29125,31621,ICMP,386,61222,2.98,Exploits
2024-01-01 0:00:29,234.152.219.68,110.233.105.51,20566,63840,TCP,373,39267,0.71,Analysis
2024-01-01 0:00:30,41.255.110.164,154.132.232.75,6855,28142,UDP,404,57062,6.34,Analysis
2024-01-01 0:00:31,166.3.22.33,254.86.27.145,54606,10490,ICMP,681,40786,7.4,Fuzzers
2024-01-01 0:00:32,225.57.195.249,85.252.75.31,51821,22672,ICMP,225,65218,1.63,Analysis
2024-01-01 0:00:33,40.83.100.254,255.161.7.227,41351,30162,UDP,13,70858,1.69,Normal
2024-01-01 0:00:34,137.31.119.255,70.58.132.233,20798,48006,TCP,681,32357,9.33,Normal
2024-01-01 0:00:35,5.210.145.161,216.30.70.60,39977,8456,UDP,597,99430,8.81,Backdoor
2024-01-01 0:00:36,196.79.49.18,73.205.100.0,15250,8239,TCP,414,37712,6.9,Backdoor
2024-01-01 0:00:37,93.29.82.193,0.95.226.14,16832,45059,ICMP,614,26697,6.99,Worms
2024-01-01 0:00:38,167.204.0.181,248.241.36.183,40155,1060,UDP,283,55328,6.06,r2l
2024-01-01 0:00:39,78.61.147.166,243.211.44.117,63666,30884,TCP,27,4417,8.66,DoS
2024-01-01 0:00:40,234.10.42.166,108.20.85.157,19905,57875,TCP,927,62742,0.4,Reconnaissance
2024-01-01 0:00:41,81.205.195.183,73.204.70.62,57755,48364,ICMP,301,6381,9.09,Worms
2024-01-01 0:00:42,94.220.238.238,86.196.152.117,34329,24175,TCP,817,89928,6.99,u2r
2024-01-01 0:00:43,250.9.25.96,77.131.122.208,47058,54956,ICMP,333,93952,5.22,u2r
2024-01-01 0:00:44,161.133.160.152,3.107.153.134,34336,49822,UDP,802,29295,2.5,Worms
2024-01-01 0:00:45,120.57.249.60,200.208.202.29,33971,63048,UDP,232,52441,3.95,DoS
